beneficiary_id,ration_card_id,head_of_household,household_size,scheme_type,entitlement_kg,rice_entitlement_kg,wheat_entitlement_kg,current_fps_id,district,taluk,latitude,longitude,registered_mobile,status,created_at
BEN-000034,RC2023100033,Sachi Lanka,2,PHH,10,6,4,FPS-0183,MYSURU,MYS-Taluk-1,12.548582,76.470318,9000052901,MIGRATED,2023-01-04
BEN-000035,RC2024100034,Devika Sur,2,PHH,10,6,4,FPS-0556,SHIVAMOGGA,SHI-Taluk-2,13.934832,75.598759,9000053898,ACTIVE,2023-01-26
BEN-000036,RC2025100035,Rushil Ahluwalia,3,PHH,15,8,7,FPS-0374,SHIVAMOGGA,SHI-Taluk-2,13.52426,75.884852,9000054895,ACTIVE,2023-01-13
BEN-000037,RC2023100036,Akshay Ramaswamy,5,PHH,25,14,11,FPS-0218,SHIVAMOGGA,SHI-Taluk-1,13.680883,75.88214,9000055892,ACTIVE,2023-06-25
BEN-000038,RC2024100037,Vinaya Tella,3,PHH,15,9,6,FPS-0318,SHIVAMOGGA,SHI-Taluk-4,13.67927,75.714132,9000056889,ACTIVE,2022-05-12
BEN-000039,RC2025100038,Gaurav Tank,6,PHH,30,18,12,FPS-0173,HASSAN,HAS-Taluk-2,12.710887,76.155978,9000057886,ACTIVE,2022-04-28
BEN-000040,RC2023100039,Bhanumati Chandran,4,AAY,35,22,13,FPS-0501,BENGALURU_URBAN,BEN-Taluk-4,13.15039,77.618683,9000058883,ACTIVE,2022-02-23
BEN-000041,RC2024100040,Siya Bal,6,PHH,30,18,12,FPS-0092,HASSAN,HAS-Taluk-4,13.308891,75.707382,9000059880,ACTIVE,2023-05-27
BEN-000042,RC2025100041,Henry Swamy,5,PHH,25,15,10,FPS-0185,MANDYA,MAN-Taluk-2,12.986156,77.210966,9000060877,MIGRATED,2024-01-23
BEN-000043,RC2023100042,Gaurangi Kade,2,PHH,10,6,4,FPS-0392,HASSAN,HAS-Taluk-1,13.249278,75.778328,9000061874,MIGRATED,2024-02-23
BEN-000044,RC2024100043,Sudiksha Gandhi,3,PHH,15,9,6,FPS-0564,MYSURU,MYS-Taluk-2,12.457043,77.019037,9000062871,ACTIVE,2022-01-26
BEN-000045,RC2025100044,Madhavi Suri,4,PHH,20,13,7,FPS-0581,SHIVAMOGGA,SHI-Taluk-2,14.105456,75.374092,9000063868,ACTIVE,2024-06-13
BEN-000046,RC2023100045,Kalpit Nayar,2,PHH,10,6,4,FPS-0521,TUMAKURU,TUM-Taluk-2,13.605021,76.676839,9000064865,ACTIVE,2023-04-21
BEN-000047,RC2024100046,Turvi Badal,4,AAY,35,21,14,FPS-0388,BENGALURU_URBAN,BEN-Taluk-4,12.784035,77.39816,9000065862,ACTIVE,2023-02-09
BEN-000048,RC2025100047,Guneet Nanda,4,PHH,20,12,8,FPS-0064,MYSURU,MYS-Taluk-1,12.210849,76.707504,9000066859,ACTIVE,2022-11-24
BEN-000049,RC2023100048,Zayan Wable,5,PHH,25,15,10,FPS-0027,MYSURU,MYS-Taluk-4,12.183804,76.740499,9000067856,ACTIVE,2022-08-06
BEN-000050,RC2024100049,Radhika Chatterjee,5,PHH,25,15,10,FPS-0557,BENGALURU_URBAN,BEN-Taluk-2,12.627906,77.48867,9000068853,ACTIVE,2022-05-05
BEN-000051,RC2025100050,Ekapad Borde,3,PHH,15,9,6,FPS-0466,MANDYA,MAN-Taluk-2,12.639523,76.701971,9000069850,ACTIVE,2022-05-19
BEN-000052,RC2023100051,Adweta Sunder,4,PHH,20,11,9,FPS-0114,MYSURU,MYS-Taluk-4,12.403498,76.957305,9000070847,ACTIVE,2024-04-04
BEN-000053,RC2024100052,Harsh Bassi,3,PHH,15,8,7,FPS-0153,TUMAKURU,TUM-Taluk-3,13.249855,76.996101,9000071844,MIGRATED,2022-01-16
BEN-000054,RC2025100053,Wridesh Gade,3,PHH,15,9,6,FPS-0029,MANDYA,MAN-Taluk-2,12.591314,76.863231,9000072841,ACTIVE,2022-06-26
BEN-000055,RC2023100054,Baghyawati Sethi,4,AAY,35,21,14,FPS-0367,HASSAN,HAS-Taluk-3,13.164132,75.784599,9000073838,MIGRATED,2023-11-10
BEN-000056,RC2024100055,Praneel Banerjee,6,PHH,30,19,11,FPS-0472,MANDYA,MAN-Taluk-4,12.587865,76.541307,9000074835,ACTIVE,2023-07-17
BEN-000057,RC2025100056,Darika Sehgal,3,PHH,15,9,6,FPS-0193,SHIVAMOGGA,SHI-Taluk-2,13.661084,75.618418,9000075832,MIGRATED,2022-04-22
BEN-000058,RC2023100057,Prisha Sarma,3,PHH,15,9,6,FPS-0448,HASSAN,HAS-Taluk-2,12.946529,76.138238,9000076829,MIGRATED,2022-04-17
BEN-000059,RC2024100058,Chaitanya Tiwari,5,PHH,25,16,9,FPS-0568,SHIVAMOGGA,SHI-Taluk-4,13.810634,75.641872,9000077826,ACTIVE,2024-03-29
BEN-000060,RC2025100059,Bhavya Bhavsar,3,PHH,15,9,6,FPS-0497,MANDYA,MAN-Taluk-4,12.576405,76.565238,9000078823,MIGRATED,2022-05-26
BEN-000061,RC2023100060,Vamakshi Rajagopal,3,PHH,15,10,5,FPS-0348,HASSAN,HAS-Taluk-1,12.938938,75.896438,9000079820,ACTIVE,2024-02-05
BEN-000062,RC2024100061,Upadhriti Khurana,7,AAY,35,20,15,FPS-0469,BENGALURU_URBAN,BEN-Taluk-1,12.792516,77.766792,9000080817,ACTIVE,2023-01-20
BEN-000063,RC2025100062,Akshay Savant,4,PHH,20,12,8,FPS-0097,MANDYA,MAN-Taluk-4,12.445869,76.713293,9000081814,ACTIVE,2024-05-05
BEN-000064,RC2023100063,Indali Jhaveri,4,PHH,20,12,8,FPS-0290,TUMAKURU,TUM-Taluk-2,13.416698,76.820624,9000082811,ACTIVE,2022-03-02
BEN-000065,RC2024100064,Orinder Dar,6,PHH,30,17,13,FPS-0593,SHIVAMOGGA,SHI-Taluk-4,13.654304,75.828428,9000083808,MIGRATED,2023-07-02
BEN-000066,RC2025100065,Maanas Rao,2,PHH,10,6,4,FPS-0548,HASSAN,HAS-Taluk-1,12.891275,76.159201,9000084805,ACTIVE,2024-05-02
BEN-000067,RC2023100066,Chatura Ravi,4,PHH,20,12,8,FPS-0311,HASSAN,HAS-Taluk-4,12.570902,76.237003,9000085802,ACTIVE,2022-01-06
BEN-000068,RC2024100067,Ekanta Chauhan,3,PHH,15,9,6,FPS-0520,MYSURU,MYS-Taluk-2,12.094654,76.447641,9000086799,ACTIVE,2022-09-15
BEN-000069,RC2025100068,Ishwar Dhar,1,PHH,5,3,2,FPS-0120,MYSURU,MYS-Taluk-4,12.340012,76.455335,9000087796,ACTIVE,2024-04-19
BEN-000070,RC2023100069,Wazir Vala,1,PHH,5,3,2,FPS-0065,TUMAKURU,TUM-Taluk-1,13.484555,76.988108,9000088793,ACTIVE,2022-07-14
BEN-000071,RC2024100070,Mugdha Kata,3,PHH,15,9,6,FPS-0112,SHIVAMOGGA,SHI-Taluk-4,13.792033,75.516211,9000089790,ACTIVE,2023-10-06
BEN-000072,RC2025100071,Manthan Bains,4,PHH,20,12,8,FPS-0024,SHIVAMOGGA,SHI-Taluk-1,13.70683,75.826721,9000050787,ACTIVE,2024-05-05
BEN-000073,RC2023100072,Lucky Patel,3,PHH,15,9,6,FPS-0529,MANDYA,MAN-Taluk-4,12.639259,76.945905,9000051784,ACTIVE,2024-03-09
BEN-000074,RC2024100073,Damyanti Khare,4,PHH,20,12,8,FPS-0330,HASSAN,HAS-Taluk-4,13.384184,76.228486,9000052781,ACTIVE,2024-06-12
BEN-000075,RC2025100074,Waida Deshpande,6,AAY,35,21,14,FPS-0562,SHIVAMOGGA,SHI-Taluk-1,13.790674,75.544557,9000053778,MIGRATED,2023-09-07
BEN-000076,RC2023100075,Arya Dara,2,PHH,10,6,4,FPS-0029,MANDYA,MAN-Taluk-2,12.559149,76.913493,9000054775,ACTIVE,2022-04-03
BEN-000077,RC2024100076,Simon Contractor,2,PHH,10,6,4,FPS-0050,BENGALURU_URBAN,BEN-Taluk-2,12.993882,77.740221,9000055772,ACTIVE,2022-08-02
BEN-000078,RC2025100077,Udarsh Singhal,4,PHH,20,13,7,FPS-0248,HASSAN,HAS-Taluk-1,12.811684,76.042638,9000056769,ACTIVE,2024-03-17
BEN-000079,RC2023100078,Zaitra Mody,7,AAY,35,20,15,FPS-0586,HASSAN,HAS-Taluk-3,12.888324,75.97136,9000057766,ACTIVE,2022-09-21
BEN-000080,RC2024100079,Vedhika Dewan,3,PHH,15,8,7,FPS-0534,TUMAKURU,TUM-Taluk-4,13.469074,76.902091,9000058763,ACTIVE,2024-03-15
BEN-000081,RC2025100080,Bishakha Buch,4,AAY,35,22,13,FPS-0516,MANDYA,MAN-Taluk-2,12.4196,76.53352,9000059760,ACTIVE,2023-08-02
BEN-000082,RC2023100081,Siya Sagar,3,PHH,15,8,7,FPS-0216,MANDYA,MAN-Taluk-3,12.627816,76.511991,9000060757,ACTIVE,2023-04-24
BEN-000083,RC2024100082,Charan Choudhary,5,PHH,25,14,11,FPS-0529,MANDYA,MAN-Taluk-4,12.623518,77.009254,9000061754,ACTIVE,2023-05-15
BEN-000084,RC2025100083,Ranveer Kaur,3,PHH,15,9,6,FPS-0143,SHIVAMOGGA,SHI-Taluk-4,13.524202,75.795509,9000062751,ACTIVE,2024-05-19
BEN-000085,RC2023100084,Anika Chakraborty,2,PHH,10,6,4,FPS-0035,MANDYA,MAN-Taluk-4,12.660822,77.115125,9000063748,ACTIVE,2023-07-16
BEN-000086,RC2024100085,Samar Date,2,PHH,10,6,4,FPS-0158,MYSURU,MYS-Taluk-4,12.747743,76.55013,9000064745,ACTIVE,2022-04-16
BEN-000087,RC2025100086,Jagvi Chander,4,PHH,20,13,7,FPS-0085,MANDYA,MAN-Taluk-4,12.673685,77.051751,9000065742,MIGRATED,2022-05-13
BEN-000088,RC2023100087,Rayaan Pillay,2,PHH,10,6,4,FPS-0457,BENGALURU_URBAN,BEN-Taluk-2,12.870777,77.561664,9000066739,ACTIVE,2023-06-29
BEN-000089,RC2024100088,Ayushman Dave,4,PHH,20,12,8,FPS-0437,SHIVAMOGGA,SHI-Taluk-1,13.836128,75.695597,9000067736,ACTIVE,2022-05-27
BEN-000090,RC2025100089,Ishwar Nagi,1,PHH,5,3,2,FPS-0154,MANDYA,MAN-Taluk-2,12.389234,76.735239,9000068733,MIGRATED,2024-03-28
BEN-000091,RC2023100090,Hemal Tata,3,PHH,15,8,7,FPS-0052,MYSURU,MYS-Taluk-4,11.941565,76.649493,9000069730,ACTIVE,2022-05-18
BEN-000092,RC2024100091,Leela Dhingra,2,PHH,10,6,4,FPS-0546,TUMAKURU,TUM-Taluk-2,13.763536,76.844628,9000070727,ACTIVE,2022-09-02
BEN-000093,RC2025100092,Viraj Hayre,5,PHH,25,14,11,FPS-0561,HASSAN,HAS-Taluk-3,12.656899,76.076423,9000071724,MIGRATED,2023-09-05
BEN-000094,RC2023100093,Yashawini Banerjee,1,PHH,5,3,2,FPS-0549,SHIVAMOGGA,SHI-Taluk-4,13.730009,75.687206,9000072721,ACTIVE,2024-02-07
BEN-000095,RC2024100094,Aahana Nagarajan,1,PHH,5,3,2,FPS-0185,MANDYA,MAN-Taluk-2,12.972787,77.145277,9000073718,ACTIVE,2023-10-01
BEN-000096,RC2025100095,Simon Bir,3,AAY,35,21,14,FPS-0600,BENGALURU_URBAN,BEN-Taluk-4,12.859958,77.78547,9000074715,ACTIVE,2023-12-18
BEN-000097,RC2023100096,Arjun Deshmukh,2,PHH,10,6,4,FPS-0053,TUMAKURU,TUM-Taluk-1,13.354451,76.901246,9000075712,MIGRATED,2022-10-03
BEN-000098,RC2024100097,Lakshmi Aurora,1,PHH,5,3,2,FPS-0013,BENGALURU_URBAN,BEN-Taluk-2,12.879693,77.477214,9000076709,MIGRATED,2022-04-21
BEN-000099,RC2025100098,Orinder Som,4,PHH,20,12,8,FPS-0105,HASSAN,HAS-Taluk-4,13.260987,76.269374,9000077706,ACTIVE,2022-10-22
BEN-000100,RC2023100099,Qushi Chopra,2,PHH,10,6,4,FPS-0018,SHIVAMOGGA,SHI-Taluk-3,13.475179,75.626736,9000078703,ACTIVE,2023-07-02
BEN-000101,RC2024100100,Hemang Bobal,2,PHH,10,6,4,FPS-0565,TUMAKURU,TUM-Taluk-4,13.598129,77.003605,9000079700,ACTIVE,2023-12-12
BEN-000102,RC2025100101,Lucky Agate,5,PHH,25,16,9,FPS-0299,SHIVAMOGGA,SHI-Taluk-2,13.645847,75.772548,9000080697,ACTIVE,2022-06-22
BEN-000103,RC2023100102,Keya Pau,4,PHH,20,11,9,FPS-0299,SHIVAMOGGA,SHI-Taluk-2,13.620015,75.807282,9000081694,MIGRATED,2024-03-25
BEN-000104,RC2024100103,Daniel Sahni,1,PHH,5,3,2,FPS-0521,TUMAKURU,TUM-Taluk-2,13.628175,76.639678,9000082691,MIGRATED,2022-12-05
BEN-000105,RC2025100104,Sathvik Ahluwalia,2,PHH,10,6,4,FPS-0252,MYSURU,MYS-Taluk-4,12.187383,76.621983,9000083688,MIGRATED,2023-03-02
BEN-000106,RC2023100105,Zayan Bhasin,3,PHH,15,9,6,FPS-0017,HASSAN,HAS-Taluk-4,13.230633,75.6807,9000084685,ACTIVE,2022-12-25
BEN-000107,RC2024100106,Ranveer De,4,AAY,35,22,13,FPS-0568,SHIVAMOGGA,SHI-Taluk-4,13.833237,75.605135,9000085682,ACTIVE,2024-06-11
BEN-000108,RC2025100107,Wahab Kamdar,6,AAY,35,21,14,FPS-0204,MANDYA,MAN-Taluk-2,12.560516,76.609572,9000086679,MIGRATED,2024-03-29
BEN-000109,RC2023100108,Yash Chana,2,PHH,10,6,4,FPS-0336,HASSAN,HAS-Taluk-4,12.609069,76.250669,9000087676,MIGRATED,2022-03-16
BEN-000110,RC2024100109,Sathvik Tiwari,6,PHH,30,18,12,FPS-0437,SHIVAMOGGA,SHI-Taluk-1,13.841829,75.668629,9000088673,ACTIVE,2023-01-21
BEN-000111,RC2025100110,Isaac Kurian,3,PHH,15,9,6,FPS-0420,MYSURU,MYS-Taluk-1,12.090992,76.356184,9000089670,ACTIVE,2023-03-05
BEN-000112,RC2023100111,Ishanvi Chandran,2,PHH,10,6,4,FPS-0266,MANDYA,MAN-Taluk-3,12.548809,76.583258,9000050667,ACTIVE,2024-02-16
BEN-000113,RC2024100112,Advika Sura,6,PHH,30,17,13,FPS-0568,SHIVAMOGGA,SHI-Taluk-4,13.814405,75.587969,9000051664,ACTIVE,2024-01-27
BEN-000114,RC2025100113,Yashawini Kanda,4,AAY,35,20,15,FPS-0463,BENGALURU_URBAN,BEN-Taluk-4,12.677282,77.521256,9000052661,ACTIVE,2024-02-22
BEN-000115,RC2023100114,Harshil Sarma,4,PHH,20,13,7,FPS-0201,BENGALURU_URBAN,BEN-Taluk-2,13.407276,77.780828,9000053658,ACTIVE,2023-10-16
BEN-000116,RC2024100115,Udarsh Wali,3,PHH,15,9,6,FPS-0083,MYSURU,MYS-Taluk-3,12.715032,76.281934,9000054655,ACTIVE,2022-11-25
BEN-000117,RC2025100116,Luke Ramanathan,2,PHH,10,6,4,FPS-0546,TUMAKURU,TUM-Taluk-2,13.702592,76.827351,9000055652,ACTIVE,2022-08-08
BEN-000118,RC2023100117,Krish Dalal,4,PHH,20,11,9,FPS-0007,BENGALURU_URBAN,BEN-Taluk-3,12.652388,77.520391,9000056649,ACTIVE,2024-06-06
BEN-000119,RC2024100118,Urvi Baria,4,AAY,35,21,14,FPS-0024,SHIVAMOGGA,SHI-Taluk-1,13.715858,75.842909,9000057646,ACTIVE,2023-06-05
BEN-000120,RC2025100119,Eshana Sarma,6,PHH,30,17,13,FPS-0092,HASSAN,HAS-Taluk-4,13.332366,75.670293,9000058643,ACTIVE,2024-06-06
BEN-000121,RC2023100120,Tripti Chokshi,3,PHH,15,10,5,FPS-0346,TUMAKURU,TUM-Taluk-1,13.758609,76.810824,9000059640,ACTIVE,2023-05-01
BEN-000122,RC2024100121,Bhavna Badal,5,AAY,35,21,14,FPS-0482,BENGALURU_URBAN,BEN-Taluk-3,12.806283,77.625421,9000060637,ACTIVE,2023-08-14
BEN-000123,RC2025100122,Akshay Ganguly,4,PHH,20,13,7,FPS-0255,HASSAN,HAS-Taluk-1,13.368758,76.006819,9000061634,MIGRATED,2023-01-17
BEN-000124,RC2023100123,Sanaya Narayanan,5,PHH,25,14,11,FPS-0278,TUMAKURU,TUM-Taluk-4,13.291554,76.952635,9000062631,MIGRATED,2022-08-19
BEN-000125,RC2024100124,Ojasvi Bora,2,PHH,10,6,4,FPS-0418,SHIVAMOGGA,SHI-Taluk-3,13.509731,75.869802,9000063628,MIGRATED,2023-09-10
BEN-000126,RC2025100125,Faras Venkataraman,6,AAY,35,20,15,FPS-0251,BENGALURU_URBAN,BEN-Taluk-1,13.442447,77.736392,9000064625,ACTIVE,2022-12-18
BEN-000127,RC2023100126,Vaishnavi Bora,6,PHH,30,18,12,FPS-0219,BENGALURU_URBAN,BEN-Taluk-1,13.035986,77.930328,9000065622,MIGRATED,2023-03-29
BEN-000128,RC2024100127,Krisha Barman,3,PHH,15,9,6,FPS-0029,MANDYA,MAN-Taluk-2,12.547644,76.902047,9000066619,ACTIVE,2024-03-18
BEN-000129,RC2025100128,Chandresh Atwal,4,PHH,20,11,9,FPS-0005,HASSAN,HAS-Taluk-2,13.266642,76.257629,9000067616,ACTIVE,2022-08-15
BEN-000130,RC2023100129,Falan Nori,6,AAY,35,20,15,FPS-0301,BENGALURU_URBAN,BEN-Taluk-2,13.297256,77.758803,9000068613,ACTIVE,2023-04-24
BEN-000131,RC2024100130,Jack Kala,5,AAY,35,22,13,FPS-0357,BENGALURU_URBAN,BEN-Taluk-2,12.603734,77.568604,9000069610,MIGRATED,2023-04-04
BEN-000132,RC2025100131,Wridesh Trivedi,3,PHH,15,8,7,FPS-0425,BENGALURU_URBAN,BEN-Taluk-4,12.832536,77.733563,9000070607,ACTIVE,2023-03-17
BEN-000133,RC2023100132,Yoshita Deep,3,PHH,15,9,6,FPS-0096,TUMAKURU,TUM-Taluk-1,13.765289,76.858233,9000071604,ACTIVE,2022-03-25
BEN-000134,RC2024100133,Robert Setty,1,PHH,5,3,2,FPS-0053,TUMAKURU,TUM-Taluk-1,13.405406,76.919924,9000072601,ACTIVE,2023-10-27
BEN-000135,RC2025100134,Veda Kar,6,PHH,30,19,11,FPS-0178,TUMAKURU,TUM-Taluk-4,13.400767,77.040196,9000073598,MIGRATED,2022-04-19
BEN-000136,RC2023100135,Ethan Oza,4,PHH,20,12,8,FPS-0155,HASSAN,HAS-Taluk-3,13.307186,76.389168,9000074595,ACTIVE,2022-07-15
BEN-000137,RC2024100136,Riya Bose,2,PHH,10,6,4,FPS-0207,BENGALURU_URBAN,BEN-Taluk-2,12.893203,77.556339,9000075592,ACTIVE,2023-08-09
BEN-000138,RC2025100137,Timothy Chhabra,6,PHH,30,17,13,FPS-0089,MYSURU,MYS-Taluk-2,12.304001,76.930722,9000076589,ACTIVE,2022-11-17
BEN-000139,RC2023100138,Panini Sem,2,PHH,10,6,4,FPS-0082,BENGALURU_URBAN,BEN-Taluk-4,12.558555,77.703568,9000077586,ACTIVE,2023-01-26
BEN-000140,RC2024100139,Qushi Chacko,4,PHH,20,11,9,FPS-0241,MANDYA,MAN-Taluk-4,12.371947,76.57868,9000078583,ACTIVE,2024-05-28
BEN-000141,RC2025100140,Devika Shetty,4,PHH,20,11,9,FPS-0349,SHIVAMOGGA,SHI-Taluk-2,13.862121,75.731197,9000079580,MIGRATED,2023-01-26
BEN-000142,RC2023100141,Matthew Halder,6,PHH,30,18,12,FPS-0465,TUMAKURU,TUM-Taluk-4,13.569071,77.094368,9000080577,ACTIVE,2023-11-06
BEN-000143,RC2024100142,Parth Munshi,2,PHH,10,6,4,FPS-0144,BENGALURU_URBAN,BEN-Taluk-2,13.044636,77.894694,9000081574,MIGRATED,2022-04-09
BEN-000144,RC2025100143,Lakshmi Grover,4,PHH,20,12,8,FPS-0311,HASSAN,HAS-Taluk-4,12.555603,76.263929,9000082571,ACTIVE,2022-11-29
BEN-000145,RC2023100144,Lakshmi Jani,2,PHH,10,6,4,FPS-0002,MYSURU,MYS-Taluk-4,12.121492,76.480425,9000083568,ACTIVE,2022-11-25
BEN-000146,RC2024100145,Gopal Munshi,4,PHH,20,12,8,FPS-0177,MYSURU,MYS-Taluk-2,12.298355,76.643159,9000084565,ACTIVE,2022-08-12
BEN-000147,RC2025100146,Baghyawati Nagi,2,PHH,10,6,4,FPS-0234,TUMAKURU,TUM-Taluk-4,13.441285,76.81643,9000085562,ACTIVE,2023-03-31
BEN-000148,RC2023100147,Tejas Chaudhari,2,PHH,10,6,4,FPS-0461,HASSAN,HAS-Taluk-1,12.667668,76.161973,9000086559,MIGRATED,2022-12-04
BEN-000149,RC2024100148,Vedhika Narayan,3,PHH,15,10,5,FPS-0245,MYSURU,MYS-Taluk-1,12.181234,76.292781,9000087556,ACTIVE,2024-06-03
BEN-000150,RC2025100149,Guneet Hora,1,PHH,5,3,2,FPS-0299,SHIVAMOGGA,SHI-Taluk-2,13.650133,75.790627,9000088553,ACTIVE,2024-05-10
BEN-000151,RC2023100150,Qarin Kumer,3,PHH,15,9,6,FPS-0177,MYSURU,MYS-Taluk-2,12.27242,76.625642,9000089550,ACTIVE,2023-08-29
BEN-000152,RC2024100151,Mahika Som,4,PHH,20,12,8,FPS-0164,MYSURU,MYS-Taluk-4,12.43899,76.821065,9000050547,ACTIVE,2024-04-11
